listing_type,is_new,make,model,trim,year,price_usd,mileage_km,body_type,fuel,transmission,color,condition,warranty_years,region,dealer_name,availability_status,platform_source
used,false,Ford,Focus,SE,2017,9900,106000,Sedan,Petrol,Automatic,White,Good,,Saida,South Gate Auto,available,curated_demo_seed
used,false,Ford,Escape,SEL,2019,18400,88000,SUV,Petrol,Automatic,Grey,Good,,Byblos,Byblos Motor House,reserved,approved_partner_demo
used,false,Ford,Ranger,XLT,2018,23800,136000,Pickup,Diesel,Automatic,Black,Good,,Nabatieh,Nabatieh Auto Point,available,dealer_demo_feed
used,false,Jeep,Renegade,Limited,2019,17700,86000,SUV,Petrol,Automatic,Red,Good,,Jounieh,Cedar Motors,available,curated_demo_seed
used,false,Jeep,Cherokee,Limited,2018,22600,102000,SUV,Petrol,Automatic,White,Good,,Baabda,Baabda Car Center,available,dealer_demo_feed
used,false,Jeep,Grand Cherokee,Limited,2017,28900,125000,SUV,Petrol,Automatic,Black,Good,,Keserwan,Keserwan Mobility,reserved,approved_partner_demo
used,false,Jeep,Wrangler,Sahara,2016,31500,117000,SUV,Petrol,Manual,Grey,Good,,Mount Lebanon,Levant Auto Gallery,available,curated_demo_seed
used,false,Chevrolet,Camaro,LT,2017,24500,84000,Coupe,Petrol,Automatic,Yellow,Good,,Beirut,Beirut Auto Hub,available,dealer_demo_feed
used,false,BMW,420i,Sport,2018,26900,91000,Coupe,Petrol,Automatic,Blue,Very Good,,Byblos,Byblos Motor House,reserved,approved_partner_demo
used,false,Audi,TT,S Line,2017,27800,76000,Coupe,Petrol,Automatic,Red,Very Good,,Jounieh,Cedar Motors,available,curated_demo_seed
used,false,Nissan,Leaf,SV,2020,16500,52000,Hatchback,Electric,Automatic,White,Very Good,,Beirut,Beirut Auto Hub,available,dealer_demo_feed
used,false,Volkswagen,e-Golf,SE,2019,17800,59000,Hatchback,Electric,Automatic,Blue,Very Good,,Mount Lebanon,Levant Auto Gallery,sold,approved_partner_demo
used,false,Renault,Zoe,Intens,2020,14900,47000,Hatchback,Electric,Automatic,White,Very Good,,Baabda,Baabda Car Center,available,curated_demo_seed
new,true,Toyota,Corolla,LE,2025,26900,0,Sedan,Petrol,Automatic,White,New,3,Beirut,Beirut Auto Hub,available,curated_demo_seed
new,true,Toyota,Corolla,Hybrid,2024,28500,0,Sedan,Hybrid,Automatic,White,New,3,Beirut,Beirut Auto Hub,reserved,approved_partner_demo
new,true,Toyota,Yaris,SE,2025,21800,0,Hatchback,Petrol,Automatic,Red,New,3,Tripoli,North Coast Motors,available,dealer_demo_feed
new,true,Toyota,RAV4,Hybrid XLE,2025,42500,15,SUV,Hybrid,Automatic,Blue,New,3,Baabda,Baabda Car Center,available,curated_demo_seed
new,true,Nissan,Sunny,SV,2024,18500,0,Sedan,Petrol,Automatic,Grey,New,3,Saida,South Gate Auto,available,dealer_demo_feed
new,true,Nissan,Qashqai,SV,2025,32900,0,SUV,Petrol,Automatic,White,New,3,Jounieh,Cedar Motors,available,approved_partner_demo
new,true,Nissan,X-Trail,SL,2026,39800,10,SUV,Hybrid,Automatic,Silver,New,3,Byblos,Byblos Motor House,reserved,curated_demo_seed
new,true,Nissan,Navara,SE,2025,36500,0,Pickup,Diesel,Manual,Black,New,3,Nabatieh,Nabatieh Auto Point,available,dealer_demo_feed
new,true,Honda,Civic,LX,2025,31800,0,Sedan,Petrol,Automatic,Black,New,3,Beirut,Beirut Auto Hub,available,curated_demo_seed
new,true,Honda,City,LX,2025,24500,0,Sedan,Petrol,Automatic,White,New,3,Saida,South Gate Auto,available,dealer_demo_feed
new,true,Honda,CR-V,Hybrid,2025,44800,20,SUV,Hybrid,Automatic,Silver,New,3,Mount Lebanon,Levant Auto Gallery,reserved,approved_partner_demo
new,true,Hyundai,Grand i10,Base,2024,15500,0,Hatchback,Petrol,Automatic,Silver,New,3,Beirut,Beirut Auto Hub,available,curated_demo_seed
new,true,Hyundai,Elantra,GLS,2025,24800,0,Sedan,Petrol,Automatic,White,New,3,Zahle,Bekaa Drive Center,available,dealer_demo_feed
new,true,Hyundai,Tucson,GLS,2024,33500,0,SUV,Petrol,Automatic,Black,New,3,Zahle,Bekaa Drive Center,available,approved_partner_demo
new,true,Hyundai,Ioniq 5,Premium,2025,48500,25,SUV,Electric,Automatic,Grey,New,5,Mount Lebanon,Levant Auto Gallery,reserved,curated_demo_seed
new,true,Kia,Picanto,Base,2024,16500,0,Hatchback,Petrol,Automatic,White,New,3,Beirut,Cedar Motors,available,dealer_demo_feed
new,true,Kia,Cerato,EX,2025,25500,0,Sedan,Petrol,Automatic,Blue,New,5,Beirut,Beirut Auto Hub,available,curated_demo_seed
new,true,Kia,Sportage,EX,2024,34500,0,SUV,Petrol,Automatic,White,New,3,Jounieh,Cedar Motors,available,approved_partner_demo
new,true,Kia,EV6,GT-Line,2025,52900,30,SUV,Electric,Automatic,Black,New,5,Mount Lebanon,Levant Auto Gallery,reserved,dealer_demo_feed
new,true,Mitsubishi,ASX,GLX,2025,29400,0,SUV,Petrol,Automatic,Silver,New,3,Byblos,Byblos Motor House,available,curated_demo_seed
new,true,Mitsubishi,Outlander,GLS,2025,39700,0,SUV,Hybrid,Automatic,White,New,3,Baabda,Baabda Car Center,available,dealer_demo_feed
new,true,Mitsubishi,L200,GLX,2025,34800,0,Pickup,Diesel,Manual,Grey,New,3,Zahle,Bekaa Drive Center,reserved,approved_partner_demo
new,true,Renault,Clio,Techno,2025,21600,0,Hatchback,Petrol,Automatic,Red,New,3,Beirut,Beirut Auto Hub,available,curated_demo_seed
new,true,Renault,Duster,Iconic,2025,27900,0,SUV,Petrol,Automatic,White,New,3,Tripoli,North Coast Motors,available,dealer_demo_feed
new,true,Renault,Kangoo,Express,2025,26500,0,Van,Diesel,Manual,Silver,New,3,Saida,South Gate Auto,available,approved_partner_demo
new,true,Peugeot,208,Allure,2025,23800,0,Hatchback,Petrol,Automatic,Yellow,New,3,Byblos,Byblos Motor House,available,curated_demo_seed
new,true,Peugeot,3008,Allure,2025,38200,0,SUV,Hybrid,Automatic,Grey,New,3,Mount Lebanon,Levant Auto Gallery,reserved,dealer_demo_feed
new,true,Chevrolet,Groove,Premier,2025,25200,0,SUV,Petrol,Automatic,White,New,3,Beirut,Beirut Auto Hub,available,approved_partner_demo
new,true,Chevrolet,Tahoe,LT,2025,78500,20,SUV,Petrol,Automatic,Black,New,3,Keserwan,Keserwan Mobility,available,curated_demo_seed
new,true,Mazda,3,GT,2025,30900,0,Sedan,Petrol,Automatic,Red,New,3,Jounieh,Cedar Motors,available,dealer_demo_feed
new,true,Mazda,CX-5,GT,2025,41800,0,SUV,Petrol,Automatic,White,New,3,Baabda,Baabda Car Center,reserved,approved_partner_demo
new,true,Volkswagen,Golf,Life,2025,33500,0,Hatchback,Petrol,Automatic,Blue,New,3,Beirut,Beirut Auto Hub,available,curated_demo_seed
new,true,Volkswagen,Tiguan,R-Line,2025,46500,0,SUV,Petrol,Automatic,Grey,New,3,Mount Lebanon,Levant Auto Gallery,available,dealer_demo_feed
new,true,Mercedes-Benz,C200,Avantgarde,2025,62500,15,Sedan,Hybrid,Automatic,White,New,3,Beirut,Beirut Auto Hub,reserved,approved_partner_demo
new,true,BMW,320i,Sport,2025,59800,10,Sedan,Petrol,Automatic,Black,New,3,Keserwan,Keserwan Mobility,available,curated_demo_seed
new,true,Audi,A3,Premium,2025,51200,0,Sedan,Petrol,Automatic,Grey,New,3,Byblos,Byblos Motor House,available,dealer_demo_feed
new,true,Lexus,NX350h,Hybrid,2025,64800,20,SUV,Hybrid,Automatic,White,New,4,Mount Lebanon,Levant Auto Gallery,reserved,approved_partner_demo
new,true,Ford,Escape,SEL,2025,38500,0,SUV,Petrol,Automatic,Grey,New,3,Byblos,Byblos Motor House,available,dealer_demo_feed
new,true,Ford,Ranger,XLT,2025,45900,0,Pickup,Diesel,Automatic,Blue,New,3,Nabatieh,Nabatieh Auto Point,available,curated_demo_seed
new,true,Jeep,Wrangler,Sahara,2025,68500,25,SUV,Petrol,Automatic,Black,New,3,Baabda,Baabda Car Center,available,dealer_demo_feed
